episode,total_reward_hunters,total_reward_targets
1,-682.150232777196,-185.21407110995113
2,-559.6622879615916,-162.25365386375768
3,-626.2504094497804,-188.66524375568588
4,-600.2609286947061,-194.8640605179596
5,-492.65100406754215,-146.00637987234813
6,-520.0595903904601,-171.5466196459622
7,-522.0115614953133,-142.3902087108607
8,-516.6308416779907,-142.33415823471535
9,-508.01509254263027,-136.82239999994144
10,-505.6927612107043,-140.90673333050006
11,-403.8280763857584,-138.95458750780753
12,-431.7649373966916,-142.3132960212334
13,-334.8377018891027,-140.21466432705114
14,-110.39445615310288,-139.72168911584941
15,96.5049004782226,-144.0697648674294
16,198.2632584094053,-138.13449047504565
17,73.07388770700364,-141.71588828419218
18,202.36719364293464,-138.71928302482888
19,83.76279820591824,-143.0603915150469
20,290.2571135021492,-143.98810881442256
21,191.43413100724018,-137.0813663866588
22,382.3544387937942,-139.33997877558144
23,407.03694577361506,-140.8161246644894
24,349.07572933322183,-142.88484116492816
25,278.9605831466559,-139.28136009773505
26,426.35822444296457,-139.72120249636308
27,369.8044236130369,-139.07238213692352
28,412.3372792694312,-140.12131769051052
29,452.27609500841663,-140.90417780193715
30,452.56334087557195,-142.11311388530885
31,181.7666809979309,-137.167837489045
32,426.79014596677825,-140.9213105997213
33,354.46772976430566,-137.84784063634396
34,503.2059207728753,-142.6990747841978
35,474.21174575754617,-139.68139655146024
36,491.61024532111946,-138.19377484462814
37,508.6530393243467,-137.75915270397087
38,500.8899176972574,-139.22745013989604
39,506.79607015894726,-137.79785585988662
40,484.98796560352105,-138.21293356434046
41,492.72479740850747,-137.50874078248495
42,503.7683340069614,-140.2314588807829
43,522.162061622606,-140.20013129872495
44,532.8105459242057,-139.38773914281816
45,528.2742233013149,-139.38554643828255
46,503.608664295975,-144.059717654827
47,507.8196844020467,-136.78122533774422
48,529.9610026713581,-139.04734946230195
49,527.0400904875245,-141.62011134835774
50,267.64896970709174,-167.79393185125844
51,543.7550035660769,-135.2596681164936
52,538.2017337736173,-141.6779077585677
53,538.7432699972193,-137.10173345988898
54,264.880275290357,-167.65965602284115
55,516.6977536250674,-137.12522688594038
56,533.5354138072823,-136.31116945031073
57,317.77348574258707,-144.31975328083655
58,557.159691449217,-141.58628425613318
59,428.7700709351172,-139.61957346387646
60,538.9441571583012,-141.00863189214903
61,530.6993807295288,-137.44044208162347
62,546.802030534243,-139.0242652918845
63,529.5665251242342,-139.25922233641583
64,546.3899863983787,-142.4704329051721
65,529.8998745649535,-139.59882689564432
66,521.5046626754231,-140.29430559039676
67,521.9291265589975,-138.17406618575427
68,530.9110332746905,-142.24108212927257
69,528.7332369203926,-141.18008723927244
70,547.7533403576737,-141.6991757965393
71,541.2466659181821,-136.34868334230922
72,547.8815997489246,-144.9522846454764
73,540.6434951015831,-137.13451197012216
74,518.2147523394364,-145.91453133562283
75,483.6604527085963,-137.76209067570431
76,502.91347500502945,-142.85728512123143
77,536.0488970175011,-138.4447266996017
78,554.6253922494554,-142.16290736313144
79,573.4000431349543,-137.3284615083193
80,556.3246052855839,-142.04214901935853
81,535.8416646413339,-145.34557965007195
82,548.4929379318235,-136.03207671567017
83,535.1124997142209,-140.88785763222376
84,414.1683888414978,-137.52472361169293
85,522.4464711365847,-140.9863760451284
86,396.8596242457755,-139.95075096974756
87,519.7741548530945,-136.3191727828622
88,544.269418289125,-136.81641697390194
89,529.4633671748306,-139.59575795100454
90,380.8682755771477,-144.76036902437554
91,329.71153062331416,-150.12332081940434
92,475.736031785805,-145.3382487039632
93,428.53173349306627,-149.45958535662209
94,517.9589153638993,-141.1778987607463
95,534.4628959354237,-142.745941814158
96,548.4152968388871,-139.04980459189272
97,522.0917597136088,-136.37825704540646
98,556.6458958759481,-137.12188017774804
99,529.3570902665795,-143.51203734753983
100,553.9228114423421,-138.93164848487137
101,539.2940977505611,-138.8292332421965
102,432.67635440459026,-141.7390659039114
103,427.71583228138076,-137.36071142784328
