episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
1,default,250,0,1,1,0,-259.3098,-398.4630,-0.0006,0.0400,-0.1238,0.0083,0.0000,0.0000,0.1041,0.0000,0.0000,0.5667,2.058718,-0.099731,1.6920,2.8520,4.9720,1.0600,1.0240
2,default,250,0,0,0,0,-403.0266,-412.7948,-0.0004,0.0000,-0.0003,0.0075,0.0000,0.0000,0.1499,0.0000,0.0000,0.4775,4.280296,-0.200144,2.0000,0.7760,5.2240,2.2240,1.0320
3,default,250,0,0,0,0,-386.4979,-405.7489,-0.0004,0.0000,-0.0078,0.0117,0.0000,0.0000,0.1539,0.0000,0.0000,0.5044,2.524409,-0.218363,2.0000,0.6440,5.3560,2.3560,0.9800
4,default,250,0,0,0,0,-382.6162,-377.7277,-0.0004,0.0000,0.0481,0.0120,0.0000,0.0000,0.2170,0.0000,0.0000,0.4904,2.046539,-0.350552,2.0000,1.7520,4.2480,1.2480,0.9880
5,default,250,0,1,1,0,-346.0938,-392.2370,-0.0002,0.0333,-0.0029,0.0083,0.0000,0.0000,0.3139,0.0000,0.0000,0.5102,2.994170,-0.572982,1.8960,1.1240,5.4760,2.1760,1.0040
6,default,250,0,1,1,0,-340.7040,-377.3654,-0.0003,0.0333,-0.0266,0.0119,0.0000,0.0000,0.2466,0.0000,0.0000,0.4828,4.000979,-0.756468,1.8240,2.0000,5.0320,1.5160,0.9920
7,default,250,0,0,0,0,-415.8954,-324.7562,-0.0003,0.0000,0.0731,0.0241,0.0000,0.0000,0.2964,0.0000,0.0000,0.5161,3.599847,-0.927912,2.0000,0.0920,5.9080,2.9080,0.6400
8,default,250,0,0,0,0,-414.6265,-442.7977,0.0001,0.0000,0.0792,0.0204,0.0000,0.0000,0.0140,0.0000,0.0000,0.4649,3.028436,-0.893465,2.0000,0.0160,5.9840,2.9840,0.4560
9,default,250,0,-1,0,1,-470.2946,-120.6133,0.0003,0.0000,0.0930,0.0400,0.0000,0.0000,0.0360,0.0000,0.0000,0.5030,2.565613,-0.814405,1.3520,3.8720,5.9920,1.0600,0.8600
10,default,207,0,-1,1,1,-328.6589,-176.5072,0.0004,0.0483,-0.1094,0.0425,0.0000,0.0000,0.0217,0.0000,0.0000,0.4477,2.556057,-0.759364,1.3720,3.7101,6.0000,1.1449,0.9758
11,default,250,0,-1,0,1,-462.8203,-140.5601,0.0003,0.0000,0.0647,0.0351,0.0000,0.0000,0.0640,0.0000,0.0000,0.4901,2.737614,-0.630145,1.3240,4.0320,6.0000,0.9840,0.9800
12,default,250,0,0,0,0,-412.8579,-450.7618,-0.0001,0.0000,0.0575,0.0216,0.0000,0.0000,0.0347,0.0000,0.0000,0.4721,2.839558,-0.545520,2.0000,0.1280,5.8720,2.8720,0.5280
13,default,250,0,0,0,0,-399.9239,-457.3070,0.0000,0.0000,0.0621,0.0181,0.0000,0.0000,0.0371,0.0000,0.0000,0.4619,2.445652,-0.530286,2.0000,0.4360,5.5640,2.5640,0.5400
14,default,81,0,-1,1,1,-140.9973,12.6565,0.0003,0.0206,-0.0228,0.1266,0.0000,0.0000,0.0000,0.0000,0.0000,0.7390,1.599507,-0.528142,1.8642,0.9136,5.7531,2.4198,0.9383
15,default,250,0,-1,0,1,-442.1900,-104.2780,0.0002,0.0000,0.0806,0.0417,0.0000,0.0000,0.0714,0.0000,0.0000,0.5234,2.983905,-0.437565,1.3280,4.0880,5.9200,0.9160,0.9800
16,default,250,0,0,0,0,-383.3573,-258.3492,-0.0001,0.0000,0.0887,0.0434,0.0000,0.0000,0.0681,0.0000,0.0000,0.6174,2.965796,-0.342846,2.0000,0.5080,5.4920,2.4920,0.6560
17,default,250,0,0,0,0,-384.0930,-411.2370,-0.0000,0.0000,0.0667,0.0327,0.0000,0.0000,0.0393,0.0000,0.0000,0.3914,2.263971,-0.315009,2.0000,0.5920,5.4080,2.4080,0.4560
