episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
1,default,250,0,1,1,0,-329.1599,-378.1985,-0.0005,0.0200,-0.1401,0.0083,0.0000,0.0000,0.1087,0.0000,0.0000,0.5838,1.941839,-0.061620,1.5640,4.2960,4.2960,0.0000,0.0000
2,default,250,0,1,1,0,-349.0686,-315.5981,-0.0003,0.0200,-0.0810,0.0092,0.0000,0.0000,0.2175,0.0000,0.0000,0.6288,4.475633,-0.156532,1.3920,4.8120,4.8120,0.0000,0.0000
3,default,250,0,0,0,0,-399.0504,-465.1520,-0.0003,0.0000,-0.1338,0.0131,0.0000,0.0000,0.2027,0.0000,0.0000,0.5744,1.683217,-0.228265,2.0000,3.0000,3.0000,0.0000,0.0000
4,default,250,0,0,0,0,-400.3097,-412.0610,-0.0005,0.0000,-0.0231,0.0120,0.0000,0.0000,0.2809,0.0000,0.0000,0.6428,1.986146,-0.375414,2.0000,3.0000,3.0000,0.0000,0.0000
5,default,250,0,0,0,0,-396.8495,-400.2668,-0.0004,0.0000,-0.0089,0.0138,0.0000,0.0000,0.2440,0.0000,0.0000,0.6451,3.036087,-0.514840,2.0000,3.0000,3.0000,0.0000,0.0000
6,default,250,0,0,0,0,-395.6811,-406.5567,-0.0003,0.0000,-0.0181,0.0131,0.0000,0.0000,0.2385,0.0000,0.0000,0.6373,2.408445,-0.673646,2.0000,3.0000,3.0000,0.0000,0.0000
7,default,250,0,0,0,0,-394.0747,-415.2098,-0.0002,0.0000,-0.0175,0.0101,0.0000,0.0000,0.1673,0.0000,0.0000,0.5641,1.289232,-0.897677,2.0000,3.0000,3.0000,0.0000,0.0000
8,default,250,0,0,0,0,-404.0968,-433.4997,-0.0003,0.0000,0.0557,0.0226,0.0000,0.0000,0.0803,0.0000,0.0000,0.5741,0.932175,-0.817613,2.0000,3.0000,3.0000,0.0000,0.0000
9,default,250,0,0,0,0,-404.8114,-460.2578,-0.0004,0.0000,0.0574,0.0185,0.0000,0.0000,0.0913,0.0000,0.0000,0.4869,0.163959,-0.677599,2.0000,3.0000,3.0000,0.0000,0.0000
10,default,250,0,-1,0,1,-452.0391,-138.9369,-0.0007,0.0000,0.0639,0.0358,0.0000,0.0000,0.0621,0.0000,0.0000,0.7296,0.613393,-0.612580,1.3200,5.0280,5.0280,0.0000,0.0000
11,default,250,0,-1,0,1,-455.6379,-133.9730,-0.0007,0.0000,0.0615,0.0377,0.0000,0.0000,0.0470,0.0000,0.0000,0.7336,1.581474,-0.549816,1.3240,5.0160,5.0160,0.0000,0.0000
12,default,250,0,-1,0,1,-463.2197,-127.7146,-0.0005,0.0000,0.0895,0.0370,0.0000,0.0000,0.1492,0.0000,0.0000,0.4907,3.240609,-0.412078,1.3440,4.9560,4.9560,0.0000,0.0000
13,default,250,0,-1,0,1,-456.4127,-124.8947,-0.0004,0.0000,0.0896,0.0390,0.0000,0.0000,0.1678,0.0000,0.0000,0.5025,4.166288,-0.322427,1.3600,4.9080,4.9080,0.0000,0.0000
14,default,250,0,0,0,0,-399.6039,-293.6477,-0.0004,0.0000,0.0992,0.0321,0.0000,0.0000,0.1757,0.0000,0.0000,0.5564,4.941659,-0.184167,2.0000,3.0000,3.0000,0.0000,0.0000
15,default,250,0,0,0,0,-395.3304,-283.9618,-0.0009,0.0000,0.1030,0.0354,0.0000,0.0000,0.2275,0.0000,0.0000,0.5859,3.697952,-0.086779,2.0000,3.0000,3.0000,0.0000,0.0000
16,default,250,0,-1,0,1,-453.9105,-118.8824,-0.0004,0.0000,0.0842,0.0409,0.0000,0.0000,0.1193,0.0000,0.0000,0.4855,4.209583,-0.001846,1.3440,4.9560,4.9560,0.0000,0.0000
17,default,229,0,-1,1,1,-359.3860,-110.1047,-0.0003,0.0437,0.0822,0.0419,0.0000,0.0000,0.1390,0.0000,0.0000,0.4628,3.018249,-0.012283,1.3755,4.8472,4.8472,0.0000,0.0000
18,default,218,0,-1,1,1,-328.5045,-101.2698,-0.0003,0.0459,0.0873,0.0435,0.0000,0.0000,0.1055,0.0000,0.0000,0.4647,3.670709,-0.009026,1.3853,4.8165,4.8165,0.0000,0.0000
19,default,250,0,-1,0,1,-428.4419,-138.2503,-0.0005,0.0000,0.0624,0.0359,0.0000,0.0000,0.0894,0.0000,0.0000,0.7250,3.470616,-0.086217,1.3280,5.0040,5.0040,0.0000,0.0000
20,default,250,0,-1,0,1,-444.8116,-149.8706,-0.0005,0.0000,0.0643,0.0327,0.0000,0.0000,0.0751,0.0000,0.0000,0.7296,3.463678,-0.117532,1.3240,5.0160,5.0160,0.0000,0.0000
21,default,250,0,0,0,0,-387.7198,-456.2851,-0.0004,0.0000,0.0640,0.0195,0.0000,0.0000,0.0553,0.0000,0.0000,0.5819,3.230863,-0.090962,2.0000,3.0000,3.0000,0.0000,0.0000
22,default,250,0,-1,0,1,-401.9973,-134.4821,-0.0005,0.0000,0.0626,0.0391,0.0000,0.0000,0.1132,0.0000,0.0000,0.7473,3.275763,-0.245804,1.3360,4.9800,4.9800,0.0000,0.0000
23,default,250,0,1,1,0,-345.0900,-178.7262,-0.0002,0.0200,0.0566,0.0152,0.0000,0.0000,0.2354,0.0000,0.0000,0.6859,3.636525,-0.334327,1.1640,5.4960,5.4960,0.0000,0.0000
24,default,250,0,1,1,0,-348.0681,-173.0592,-0.0004,0.0200,0.0623,0.0148,0.0000,0.0000,0.2291,0.0000,0.0000,0.6921,3.605574,-0.403795,1.1560,5.5200,5.5200,0.0000,0.0000
25,default,250,0,-1,0,1,-428.3179,-140.8840,-0.0006,0.0000,0.0584,0.0359,0.0000,0.0000,0.2015,0.0000,0.0000,0.7233,2.997584,-0.672237,1.3440,4.9560,4.9560,0.0000,0.0000
26,default,250,0,1,1,0,-325.4638,-168.2971,-0.0003,0.0200,0.0649,0.0165,0.0000,0.0000,0.1893,0.0000,0.0000,0.6139,3.809639,-1.043975,1.1520,5.5320,5.5320,0.0000,0.0000
27,default,250,0,0,0,0,-333.0466,-293.6018,-0.0009,0.0000,0.0847,0.0345,0.0000,0.0000,0.1609,0.0000,0.0000,0.6085,3.251209,-1.604646,2.0000,3.0000,3.0000,0.0000,0.0000
