episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
1,default,250,0,1,1,0,-836.1926,-529.2278,-0.0074,0.0040,-0.0446,0.0207,0.0000,0.0000,0.0243,0.0000,0.0000,0.4750,0.340040,-0.061624,1.7720,3.6720,3.6720,0.0000,1.7280
2,default,250,0,0,0,0,-909.8390,-551.6281,-0.0053,0.0000,0.0083,0.0388,0.0000,0.0000,0.2192,0.0000,0.0000,0.4159,0.221172,-0.226077,2.0000,3.0000,3.0000,0.0000,1.9600
3,default,250,0,0,0,0,-884.3720,-573.5060,-0.0047,0.0000,-0.0037,0.0314,0.0000,0.0000,0.0739,0.0000,0.0000,0.6112,0.281171,-0.364675,2.0000,3.0000,3.0000,0.0000,1.9600
4,default,250,0,0,0,0,-887.4527,-591.9116,-0.0029,0.0000,-0.0320,0.0282,0.0000,0.0000,0.4584,0.0000,0.0000,0.5357,0.272509,-0.560023,2.0000,3.0000,3.0000,0.0000,1.9600
5,default,250,0,1,1,0,-440.5311,-369.6159,-0.0057,0.0040,-0.0312,0.0288,0.0000,0.0000,0.0102,0.0000,0.0000,0.6286,0.366866,-1.263443,1.3160,5.0400,5.0400,0.0000,1.2800
6,default,250,0,0,0,0,-653.3681,-550.8441,-0.0061,0.0000,0.0178,0.0300,0.0000,0.0000,0.0048,0.0000,0.0000,0.5263,0.372838,-2.688329,2.0000,3.0000,3.0000,0.0000,1.9600
7,default,250,0,1,1,0,-495.1844,-387.6019,-0.0008,0.0040,-0.0278,0.0235,0.0000,0.0000,0.0118,0.0000,0.0000,0.6302,0.466186,-4.305141,1.3440,4.9560,4.9560,0.0000,1.3080
8,default,250,0,0,0,0,-804.3576,-508.5313,-0.0030,0.0000,0.0222,0.0489,0.0000,0.0000,0.4497,0.0000,0.0000,0.4832,0.464178,-5.128991,2.0000,3.0000,3.0000,0.0000,1.9600
9,default,250,0,0,0,0,-658.2818,-768.6773,-0.0015,0.0000,-0.0188,0.0398,0.0000,0.0000,0.3224,0.0000,0.0000,0.4183,0.429127,-5.373988,2.0000,3.0000,3.0000,0.0000,1.1360
10,default,250,0,0,0,0,-413.7710,-444.8239,-0.0041,0.0000,-0.0110,0.1033,0.0000,0.0000,0.0071,0.0000,0.0000,0.6707,0.678026,-5.731553,2.0000,3.0000,3.0000,0.0000,1.9600
11,default,250,0,0,0,0,-494.1768,-487.2005,-0.0013,0.0000,-0.0080,0.0777,0.0000,0.0000,0.4583,0.0000,0.0000,0.6336,0.712265,-6.132479,2.0000,3.0000,3.0000,0.0000,1.9600
12,default,250,0,-1,0,1,-382.0384,-113.8143,-0.0022,0.0000,0.0108,0.1479,0.0000,0.0000,0.2055,0.0000,0.0000,0.6476,1.045278,-7.599432,1.3200,5.0280,5.0280,0.0000,1.2840
