episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
1,pursuit_avoidance,250,0,0,0,0,-485.2680,-458.4081,-0.0084,0.0000,-0.0003,0.0248,0.0000,0.0000,0.0679,0.0000,0.0000,0.6206,1.089661,-0.123187,2.0000,1.9880,4.0120,1.0120,0.0000
2,pursuit_avoidance,250,0,0,0,0,-559.3807,-505.2700,0.0027,0.0000,0.0000,0.0119,0.0000,0.0000,0.0016,0.0000,0.0000,0.6300,0.282346,-0.481100,2.0000,0.0000,6.0000,3.0000,0.0000
3,pursuit_avoidance,250,0,0,0,0,-550.8625,-500.8474,0.0020,0.0000,-0.0002,0.0138,0.0000,0.0000,0.0008,0.0000,0.0000,0.6308,0.027017,-0.644380,2.0000,0.0440,5.9560,2.9560,0.0000
4,pursuit_avoidance,250,0,0,0,0,-553.1174,-499.8927,0.0008,0.0000,-0.0009,0.0139,0.0000,0.0000,0.0014,0.0000,0.0000,0.5247,0.033805,-0.911414,2.0000,0.0000,6.0000,3.0000,0.0000
5,pursuit_avoidance,250,0,0,0,0,-548.8312,-502.4782,-0.0168,0.0000,0.0014,0.0109,0.0000,0.0000,0.5203,0.0000,0.0000,0.5012,0.037530,-1.157296,2.0000,0.1360,5.8640,2.8640,0.0000
6,pursuit_avoidance,250,0,0,0,0,-549.2132,-501.8990,-0.0208,0.0000,0.0016,0.0111,0.0000,0.0000,0.3085,0.0000,0.0000,0.5048,0.053091,-1.575157,2.0000,0.1960,5.8040,2.8040,0.0000
7,pursuit_avoidance,250,0,0,0,0,-507.0667,-490.9596,-0.0129,0.0000,0.0028,0.0146,0.0000,0.0000,0.4926,0.0000,0.0000,0.5136,0.058204,-2.372347,2.0000,0.8440,5.1560,2.1560,0.0000
8,pursuit_avoidance,250,0,0,0,0,-542.8495,-488.2725,-0.0099,0.0000,0.0027,0.0152,0.0000,0.0000,0.7777,0.0000,0.0000,0.5194,0.074160,-1.549099,2.0000,0.2800,5.7200,2.7200,0.0000
9,pursuit_avoidance,250,0,1,1,0,-435.6531,-298.2066,-0.0011,0.0500,-0.0030,0.0170,0.0000,0.0000,0.4463,0.0000,0.0000,0.6470,4.829585,-1.052861,1.3240,4.2920,5.7400,0.7240,0.0000
10,pursuit_avoidance,250,0,0,0,0,-413.3583,-451.9345,-0.0070,0.0000,0.0012,0.0212,0.0000,0.0000,0.4072,0.0000,0.0000,0.4888,7.877795,-1.568161,2.0000,2.3920,3.6080,0.6080,0.0000
