episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
1,default,250,0,1,1,0,-309.6502,-409.9774,-0.0010,0.0200,-0.1084,0.0083,0.0000,0.0000,0.0252,0.0000,0.0000,0.5713,1.654680,-0.070520,1.7760,3.6600,3.6600,0.0000,1.7320
2,default,250,0,0,0,0,-362.0861,-422.1515,-0.0008,0.0000,-0.0642,0.0158,0.0000,0.0000,0.2365,0.0000,0.0000,0.6042,2.869581,-0.200126,2.0000,3.0000,3.0000,0.0000,1.9600
3,default,250,0,0,0,0,-397.4048,-411.6541,-0.0003,0.0000,-0.0244,0.0126,0.0000,0.0000,0.2805,0.0000,0.0000,0.6459,1.971032,-0.305378,2.0000,3.0000,3.0000,0.0000,1.9600
4,default,250,0,0,0,0,-400.8269,-403.6166,-0.0002,0.0000,-0.0131,0.0130,0.0000,0.0000,0.3224,0.0000,0.0000,0.6431,1.623479,-0.411495,2.0000,3.0000,3.0000,0.0000,1.9600
5,default,250,0,0,0,0,-322.9968,-433.6139,-0.0001,0.0000,-0.0645,0.0119,0.0000,0.0000,0.2758,0.0000,0.0000,0.5866,2.612702,-0.584409,2.0000,3.0000,3.0000,0.0000,1.9600
6,default,250,0,0,0,0,-260.1439,-406.2444,-0.0002,0.0000,-0.0092,0.0117,0.0000,0.0000,0.2166,0.0000,0.0000,0.5641,1.751552,-1.003893,2.0000,3.0000,3.0000,0.0000,1.9600
7,default,250,0,0,0,0,-313.9284,-396.8191,-0.0006,0.0000,0.0026,0.0127,0.0000,0.0000,0.3894,0.0000,0.0000,0.5796,2.731435,-1.568540,2.0000,3.0000,3.0000,0.0000,1.9600
8,default,250,0,0,0,0,-347.4172,-457.8429,-0.0003,0.0000,0.0564,0.0172,0.0000,0.0000,0.4559,0.0000,0.0000,0.5746,1.596191,-1.845750,2.0000,3.0000,3.0000,0.0000,1.1440
9,default,250,0,0,0,0,-284.3523,-480.8137,-0.0002,0.0000,0.0577,0.0144,0.0000,0.0000,0.4690,0.0000,0.0000,0.4724,0.383857,-1.809124,2.0000,3.0000,3.0000,0.0000,1.0680
10,default,250,0,-1,0,1,-119.3515,-146.6892,-0.0005,0.0000,0.0591,0.0341,0.0000,0.0000,0.0017,0.0000,0.0000,0.7109,0.891553,-2.570785,1.3320,4.9920,4.9920,0.0000,1.2960
11,default,250,0,0,0,0,-6.4029,-463.2627,-0.0002,0.0000,0.0599,0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.4811,3.480650,-4.288389,2.0000,3.0000,3.0000,0.0000,1.1320
12,default,250,0,1,1,0,38.8194,-156.3436,-0.0001,0.0200,0.0588,0.0383,0.0000,0.0000,0.0009,0.0000,0.0000,0.7236,3.991134,-5.589538,1.3480,4.9440,4.9440,0.0000,1.3120
13,default,250,0,-1,0,1,-66.0960,-130.8507,0.0000,0.0000,0.0658,0.0390,0.0000,0.0000,0.0073,0.0000,0.0000,0.7468,4.908041,-6.821645,1.3440,4.9560,4.9560,0.0000,1.3080
14,default,250,0,-1,0,1,-66.0638,-138.5818,-0.0000,0.0000,0.0665,0.0372,0.0000,0.0000,0.0579,0.0000,0.0000,0.7276,7.435344,-7.958492,1.3520,4.9320,4.9320,0.0000,1.3160
15,default,250,0,-1,0,1,-66.2168,-140.1564,-0.0001,0.0000,0.0651,0.0355,0.0000,0.0000,0.0118,0.0000,0.0000,0.7282,7.246901,-9.136418,1.3480,4.9440,4.9440,0.0000,1.3120
16,default,250,0,-1,0,1,-67.0446,-152.2870,0.0001,0.0000,0.0530,0.0312,0.0000,0.0000,0.0114,0.0000,0.0000,0.7162,10.269282,-10.197489,1.3400,4.9680,4.9680,0.0000,1.3040
17,default,250,0,-1,0,1,-66.7700,-145.0268,0.0000,0.0000,0.0543,0.0337,0.0000,0.0000,0.0593,0.0000,0.0000,0.7196,8.287393,-10.548921,1.3400,4.9680,4.9680,0.0000,1.3040
18,default,250,0,-1,0,1,-66.6122,-140.9504,-0.0002,0.0000,0.0597,0.0366,0.0000,0.0000,0.0030,0.0000,0.0000,0.7283,8.164859,-10.400935,1.3360,4.9800,4.9800,0.0000,1.3000
19,default,250,0,-1,0,1,-71.1265,-133.2030,-0.0006,0.0000,0.0657,0.0352,0.0000,0.0000,0.0543,0.0000,0.0000,0.7268,8.394169,-10.197314,1.3080,5.0640,5.0640,0.0000,1.2720
20,default,250,0,-1,0,1,-69.0607,-149.3756,-0.0008,0.0000,0.0550,0.0313,0.0000,0.0000,0.0059,0.0000,0.0000,0.7036,7.987565,-10.078464,1.3280,5.0040,5.0040,0.0000,1.2920
21,default,250,0,0,0,0,-9.4285,-488.8869,-0.0002,0.0000,0.0636,0.0106,0.0000,0.0000,0.0098,0.0000,0.0000,0.4652,7.379802,-10.084798,2.0000,3.0000,3.0000,0.0000,1.0400
22,default,250,0,0,0,0,-34.9549,-493.8917,-0.0003,0.0000,0.0609,0.0105,0.0000,0.0000,0.0166,0.0000,0.0000,0.4751,6.015812,-10.108545,2.0000,3.0000,3.0000,0.0000,1.0280
23,default,250,0,-1,0,1,-229.2201,-150.0119,-0.0010,0.0000,0.0456,0.0348,0.0000,0.0000,0.1583,0.0000,0.0000,0.7112,5.300161,-9.764289,1.3360,4.9800,4.9800,0.0000,1.3000
24,default,250,0,1,1,0,-96.3058,-204.6843,-0.0005,0.0200,0.0488,0.0130,0.0000,0.0000,0.1532,0.0000,0.0000,0.6729,4.825076,-9.046253,1.1920,5.4120,5.4120,0.0000,1.0680
25,default,250,0,0,0,0,-98.3742,-499.4936,-0.0003,0.0000,0.0490,0.0088,0.0000,0.0000,0.1500,0.0000,0.0000,0.4534,4.090384,-8.280229,2.0000,3.0000,3.0000,0.0000,1.0560
26,default,250,0,1,1,0,5.9124,-189.1376,-0.0005,0.0200,0.0409,0.0110,0.0000,0.0000,0.0295,0.0000,0.0000,0.6719,3.367328,-7.725092,1.1320,5.5920,5.5920,0.0000,1.0960
27,default,250,0,-1,0,1,-143.9114,-145.0806,-0.0008,0.0000,0.0544,0.0348,0.0000,0.0000,0.1586,0.0000,0.0000,0.7077,2.546276,-7.290488,1.3240,5.0160,5.0160,0.0000,1.2880
28,default,250,0,1,1,0,26.3854,-182.8585,-0.0002,0.0200,0.0504,0.0114,0.0000,0.0000,0.0285,0.0000,0.0000,0.6633,3.173166,-7.126633,1.1240,5.6160,5.6160,0.0000,1.0880
29,default,250,0,0,0,0,-7.0449,-496.2065,-0.0000,0.0000,0.0597,0.0095,0.0000,0.0000,0.0021,0.0000,0.0000,0.4753,3.012628,-7.455162,2.0000,3.0000,3.0000,0.0000,1.0360
30,default,250,0,1,1,0,26.3223,-273.1549,-0.0001,0.0200,0.0463,0.0110,0.0000,0.0000,0.0068,0.0000,0.0000,0.6246,2.703073,-7.875369,1.3520,4.9320,4.9320,0.0000,1.0280
31,default,250,0,0,0,0,-10.5522,-501.3673,0.0002,0.0000,0.0619,0.0078,0.0000,0.0000,0.0004,0.0000,0.0000,0.4677,2.096265,-8.174628,2.0000,3.0000,3.0000,0.0000,1.0280
32,default,250,0,0,0,0,-8.9361,-651.3210,0.0001,0.0000,-0.0116,0.0087,0.0000,0.0000,0.0770,0.0000,0.0000,0.2916,2.362812,-8.563823,2.0000,3.0000,3.0000,0.0000,0.1160
33,default,83,0,-1,1,1,-8.9554,-69.7955,-0.0006,0.1205,-0.0875,0.1074,0.0000,0.0000,0.0068,0.0000,0.0000,0.5540,2.220678,-8.519313,1.9639,3.0361,3.0361,0.0000,1.1325
34,default,88,0,-1,1,1,-40.7118,-36.3496,-0.0014,0.0568,-0.0517,0.1007,0.0000,0.0000,0.0039,0.0000,0.0000,0.6800,2.894910,-8.598935,1.6932,3.8523,3.8523,0.0000,1.1477
35,default,250,0,-1,0,1,-72.8478,-304.0462,-0.0004,0.0000,-0.0217,0.0355,0.0000,0.0000,0.0037,0.0000,0.0000,0.3292,3.371685,-8.649558,1.3440,4.9560,4.9560,0.0000,0.3880
36,default,88,0,-1,0,2,-100.2564,23.1656,-0.0022,0.0000,-0.1158,0.1714,0.0000,0.0000,0.0047,0.0000,0.0000,0.7433,4.554134,-8.807094,1.9773,3.0000,3.0000,0.0000,1.8864
37,default,85,0,-1,0,2,-100.6920,18.8072,-0.0021,0.0000,-0.1547,0.1718,0.0000,0.0000,0.0145,0.0000,0.0000,0.7028,5.446344,-8.744739,1.9176,3.1765,3.1765,0.0000,1.8235
38,default,250,0,-1,0,1,-69.7117,-318.5660,-0.0004,0.0000,-0.0340,0.0309,0.0000,0.0000,0.0255,0.0000,0.0000,0.2692,6.953034,-8.722041,1.3320,4.9920,4.9920,0.0000,0.3640
39,default,81,0,-1,1,1,-39.8272,-52.0774,-0.0011,0.0617,-0.0557,0.0997,0.0000,0.0000,0.0200,0.0000,0.0000,0.6229,7.703935,-8.628607,1.8642,3.3333,3.3333,0.0000,1.1235
40,default,250,0,-1,0,1,-66.4351,-299.4756,-0.0003,0.0000,-0.0201,0.0355,0.0000,0.0000,0.0131,0.0000,0.0000,0.3033,8.028220,-8.524708,1.3240,5.0160,5.0160,0.0000,0.3720
41,default,89,0,-1,0,2,-97.1802,32.5656,-0.0018,0.0000,-0.0642,0.1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.8215,8.728647,-8.452259,1.9438,3.1011,3.1011,0.0000,1.8539
42,default,250,0,1,1,0,36.3512,-122.4820,-0.0009,0.0200,0.0216,0.0455,0.0000,0.0000,0.0059,0.0000,0.0000,0.7472,8.684668,-8.205587,1.1840,5.4360,5.4360,0.0000,1.1480
43,default,87,0,-1,0,2,-99.3665,43.9666,-0.0016,0.0000,-0.0394,0.1725,0.0000,0.0000,0.0183,0.0000,0.0000,0.7721,7.683977,-7.599483,1.9770,3.0000,3.0000,0.0000,1.8851
44,default,250,0,-1,0,1,-67.6301,-301.5264,-0.0004,0.0000,-0.0143,0.0336,0.0000,0.0000,0.0034,0.0000,0.0000,0.3050,9.932683,-7.566975,1.3400,4.9680,4.9680,0.0000,0.3800
45,default,108,1,2,2,0,147.9249,-246.9185,0.0003,0.1389,-0.0069,0.0291,0.0000,0.0000,0.0327,0.0000,0.0000,0.4748,8.786467,-7.411838,1.9722,3.0278,3.0278,0.0000,0.3148
46,default,250,0,0,0,0,-7.2317,-618.1850,-0.0001,0.0000,-0.0135,0.0191,0.0000,0.0000,0.0203,0.0000,0.0000,0.4039,8.413751,-7.496817,2.0000,3.0000,3.0000,0.0000,0.2160
47,default,88,0,-1,0,2,-97.7090,31.8670,-0.0019,0.0000,-0.0516,0.1675,0.0000,0.0000,0.0094,0.0000,0.0000,0.8164,7.266792,-7.409111,1.9091,3.2045,3.2045,0.0000,1.8182
48,default,89,0,-1,0,2,-97.8608,49.3397,-0.0016,0.0000,-0.0228,0.1773,0.0000,0.0000,0.0124,0.0000,0.0000,0.7425,8.566540,-7.309930,1.9213,3.1685,3.1685,0.0000,1.8315
49,default,87,0,-1,0,2,-100.2549,38.9187,-0.0021,0.0000,-0.0406,0.1761,0.0000,0.0000,0.0133,0.0000,0.0000,0.8215,8.465616,-7.114652,1.9540,3.0690,3.0690,0.0000,1.8621
50,default,250,0,-1,0,1,-69.5609,-297.6159,-0.0004,0.0000,-0.0079,0.0341,0.0000,0.0000,0.0030,0.0000,0.0000,0.3279,7.594965,-6.940435,1.3200,5.0280,5.0280,0.0000,0.3560
51,default,83,0,-1,0,2,-101.2536,37.7045,-0.0023,0.0000,-0.0399,0.1741,0.0000,0.0000,0.0000,0.0000,0.0000,0.7464,6.849437,-6.773248,1.9398,3.1084,3.1084,0.0000,1.8434
52,default,89,0,-1,0,2,-100.4550,31.6777,-0.0020,0.0000,-0.0595,0.1732,0.0000,0.0000,0.0014,0.0000,0.0000,0.7609,7.937946,-6.656845,1.9326,3.1348,3.1348,0.0000,1.8427
53,default,86,0,-1,0,2,-100.8068,35.3888,-0.0020,0.0000,-0.0518,0.1728,0.0000,0.0000,0.0109,0.0000,0.0000,0.7778,6.840148,-6.595375,1.9419,3.1047,3.1047,0.0000,1.8488
54,default,89,0,-1,0,2,-102.8277,45.3400,-0.0021,0.0000,-0.0250,0.1746,0.0000,0.0000,0.0029,0.0000,0.0000,0.7895,7.421821,-6.489313,1.9213,3.1685,3.1685,0.0000,1.8315
55,default,250,0,-1,0,1,-70.6539,-300.9055,-0.0004,0.0000,-0.0093,0.0345,0.0000,0.0000,0.0029,0.0000,0.0000,0.4747,6.169248,-6.865734,1.3280,5.0040,5.0040,0.0000,0.3760
56,default,82,0,-1,0,2,-101.8427,47.7608,-0.0021,0.0000,-0.0143,0.1788,0.0000,0.0000,0.0032,0.0000,0.0000,0.7361,7.513269,-6.690294,1.9756,3.0000,3.0000,0.0000,1.8780
57,default,90,0,-1,0,2,-99.3774,43.4907,-0.0017,0.0000,-0.0256,0.1756,0.0000,0.0000,0.0067,0.0000,0.0000,0.7941,5.540617,-6.675665,1.9556,3.0667,3.0667,0.0000,1.8667
58,default,250,0,-1,0,1,-77.2257,-289.4978,-0.0003,0.0000,-0.0087,0.0375,0.0000,0.0000,0.0068,0.0000,0.0000,0.4883,5.210479,-6.325913,1.3360,4.9800,4.9800,0.0000,0.3960
59,default,89,0,-1,0,2,-99.9598,41.2179,-0.0017,0.0000,-0.0252,0.1734,0.0000,0.0000,0.0049,0.0000,0.0000,0.7942,4.261350,-6.130769,1.9438,3.1011,3.1011,0.0000,1.8539
60,default,250,0,0,0,0,-15.4463,-610.4454,-0.0002,0.0000,-0.0061,0.0183,0.0000,0.0000,0.0383,0.0000,0.0000,0.4517,3.762534,-5.973601,2.0000,3.0000,3.0000,0.0000,0.2280
61,default,250,0,0,0,0,-10.2994,-608.0542,-0.0001,0.0000,-0.0072,0.0186,0.0000,0.0000,0.0267,0.0000,0.0000,0.3284,2.959441,-5.861196,2.0000,3.0000,3.0000,0.0000,0.2320
62,default,250,0,1,1,0,35.1805,-311.2232,0.0000,0.0200,-0.0121,0.0209,0.0000,0.0000,0.0516,0.0000,0.0000,0.2226,2.557509,-5.824935,1.1720,5.4720,5.4720,0.0000,0.2520
63,default,250,0,0,0,0,-9.9835,-611.7209,0.0000,0.0000,-0.0107,0.0171,0.0000,0.0000,0.1419,0.0000,0.0000,0.2627,2.134513,-5.856049,2.0000,3.0000,3.0000,0.0000,0.2160
64,default,250,0,1,1,0,33.3640,-315.5374,-0.0003,0.0200,-0.0236,0.0172,0.0000,0.0000,0.0357,0.0000,0.0000,0.2937,2.048711,-5.843024,1.1440,5.5560,5.5560,0.0000,0.2520
65,default,250,0,1,1,0,33.0119,-330.6869,-0.0001,0.0200,-0.0146,0.0148,0.0000,0.0000,0.0624,0.0000,0.0000,0.2086,1.312768,-5.747946,1.1560,5.5200,5.5200,0.0000,0.2080
66,default,38,1,2,2,0,148.5407,-19.7206,0.0012,0.3947,-0.1412,0.1029,0.0000,0.0000,0.0413,0.0000,0.0000,0.6945,0.903938,-5.681875,1.8421,3.3158,3.3158,0.0000,1.6316
67,default,42,1,2,2,0,149.0668,-11.3064,0.0013,0.3571,-0.1195,0.1242,0.0000,0.0000,0.0766,0.0000,0.0000,0.6726,1.311844,-5.803267,1.8333,3.3571,3.3571,0.0000,1.6429
68,default,250,0,0,0,0,-25.4113,-616.3626,-0.0000,0.0000,-0.0021,0.0174,0.0000,0.0000,0.0910,0.0000,0.0000,0.4616,3.190876,-5.845507,2.0000,3.0000,3.0000,0.0000,0.1920
69,default,250,0,0,0,0,-12.9242,-588.6203,-0.0003,0.0000,-0.0065,0.0183,0.0000,0.0000,0.0020,0.0000,0.0000,0.4564,2.243150,-5.638783,2.0000,3.0000,3.0000,0.0000,0.2880
70,default,250,0,1,1,0,-37.1975,-134.9412,-0.0009,0.0200,0.0248,0.0316,0.0000,0.0000,0.0764,0.0000,0.0000,0.7013,3.085717,-4.848739,1.1320,5.5920,5.5920,0.0000,1.0960
71,default,250,0,1,1,0,-43.5757,-310.2919,-0.0000,0.0200,-0.0102,0.0170,0.0000,0.0000,0.1730,0.0000,0.0000,0.4592,3.037783,-3.655739,1.1400,5.5680,5.5680,0.0000,0.2280
72,default,250,0,0,0,0,-36.9116,-622.9384,-0.0003,0.0000,-0.0121,0.0139,0.0000,0.0000,0.0241,0.0000,0.0000,0.2432,2.713822,-3.379981,2.0000,3.0000,3.0000,0.0000,0.1960
73,default,250,0,1,1,0,22.5440,-317.9135,-0.0001,0.0200,-0.0085,0.0155,0.0000,0.0000,0.0376,0.0000,0.0000,0.4746,2.661450,-3.386342,1.1400,5.5680,5.5680,0.0000,0.2000
74,default,250,0,1,1,0,19.9793,-316.6307,-0.0003,0.0200,-0.0212,0.0163,0.0000,0.0000,0.0393,0.0000,0.0000,0.2811,2.169887,-3.268261,1.1440,5.5560,5.5560,0.0000,0.2400
75,default,42,1,2,2,0,146.3684,-10.4385,0.0016,0.3571,-0.1052,0.1344,0.0000,0.0000,0.1576,0.0000,0.0000,0.7061,1.585058,-3.100089,1.8810,3.2143,3.2143,0.0000,1.6905
76,default,41,1,2,2,0,117.5135,-8.1697,0.0016,0.2439,-0.1055,0.1421,0.0000,0.0000,0.1507,0.0000,0.0000,0.6978,1.793291,-3.097127,1.9512,3.0000,3.0000,0.0000,1.7561
77,default,250,0,1,1,0,16.8516,-309.3214,-0.0002,0.0200,-0.0028,0.0189,0.0000,0.0000,0.0455,0.0000,0.0000,0.2107,2.585322,-3.142067,1.1600,5.5080,5.5080,0.0000,0.2360
78,default,250,0,0,0,0,-33.1723,-591.4853,-0.0003,0.0000,-0.0141,0.0218,0.0000,0.0000,0.0296,0.0000,0.0000,0.3660,2.779223,-3.297455,2.0000,3.0000,3.0000,0.0000,0.2840
79,default,38,1,2,2,0,119.8886,-12.7771,0.0015,0.2632,-0.1295,0.1341,0.0000,0.0000,0.0420,0.0000,0.0000,0.7171,1.599176,-4.016800,1.9474,3.0000,3.0000,0.0000,1.7368
80,default,250,0,-1,0,1,-82.6019,-305.4648,-0.0003,0.0000,-0.0040,0.0326,0.0000,0.0000,0.0153,0.0000,0.0000,0.5609,3.094012,-4.559391,1.3520,4.9320,4.9320,0.0000,0.3840
81,default,250,0,0,0,0,-21.6135,-630.7305,-0.0001,0.0000,-0.0141,0.0132,0.0000,0.0000,0.0135,0.0000,0.0000,0.3246,2.799494,-4.790235,2.0000,3.0000,3.0000,0.0000,0.1760
82,default,250,0,0,0,0,-19.7733,-630.5579,-0.0001,0.0000,-0.0155,0.0136,0.0000,0.0000,0.0176,0.0000,0.0000,0.2730,2.407420,-4.837164,2.0000,3.0000,3.0000,0.0000,0.1760
83,default,250,0,-1,0,1,-71.9242,-291.0110,-0.0006,0.0000,-0.0146,0.0345,0.0000,0.0000,0.0133,0.0000,0.0000,0.3906,2.368357,-4.889068,1.3320,4.9920,4.9920,0.0000,0.4160
84,default,250,0,0,0,0,-9.0565,-646.5491,-0.0002,0.0000,-0.0081,0.0093,0.0000,0.0000,0.0240,0.0000,0.0000,0.2968,2.031792,-4.819583,2.0000,3.0000,3.0000,0.0000,0.1240
85,default,250,0,0,0,0,-27.3691,-645.5572,-0.0003,0.0000,-0.0059,0.0100,0.0000,0.0000,0.0127,0.0000,0.0000,0.3688,1.301056,-4.729985,2.0000,3.0000,3.0000,0.0000,0.1240
86,default,250,0,1,1,0,35.2219,-318.9069,-0.0003,0.0200,-0.0080,0.0087,0.0000,0.0000,0.0304,0.0000,0.0000,0.1869,1.357870,-4.754333,1.0520,5.8320,5.8320,0.0000,0.1200
87,default,250,0,0,0,0,-32.1157,-627.8688,-0.0002,0.0000,-0.0196,0.0156,0.0000,0.0000,0.0085,0.0000,0.0000,0.3179,0.815658,-4.622510,2.0000,3.0000,3.0000,0.0000,0.1880
88,default,250,0,1,1,0,12.6991,-329.8662,-0.0003,0.0200,-0.0010,0.0082,0.0000,0.0000,0.0090,0.0000,0.0000,0.4642,0.782799,-4.547152,1.0680,5.7840,5.7840,0.0000,0.0960
89,default,250,0,1,1,0,-65.9180,-324.4681,-0.0004,0.0200,-0.0012,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.5271,0.930414,-4.437821,1.0600,5.8080,5.8080,0.0000,0.1040
90,default,250,0,1,1,0,-27.6911,-305.6692,-0.0001,0.0200,-0.0248,0.0379,0.0000,0.0000,0.0000,0.0000,0.0000,0.3957,0.931104,-4.409167,1.3480,4.9440,4.9440,0.0000,0.4360
91,default,250,0,0,0,0,-102.7785,-624.8755,-0.0003,0.0000,-0.0155,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.1692,0.789679,-4.341707,2.0000,3.0000,3.0000,0.0000,0.1880
92,default,250,0,1,1,0,19.2993,-317.3967,-0.0003,0.0200,-0.0111,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.1619,0.798823,-4.253902,1.0560,5.8200,5.8200,0.0000,0.1320
93,default,250,0,0,0,0,-42.7592,-630.4864,-0.0004,0.0000,-0.0096,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.2219,0.824005,-4.177900,2.0000,3.0000,3.0000,0.0000,0.1680
94,default,250,0,0,0,0,-22.0618,-626.6147,-0.0003,0.0000,-0.0214,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.2494,0.569741,-4.119832,2.0000,3.0000,3.0000,0.0000,0.1920
95,default,250,0,-1,0,1,-67.2082,-305.1062,-0.0002,0.0000,-0.0238,0.0330,0.0000,0.0000,0.0108,0.0000,0.0000,0.3786,0.449408,-4.112849,1.3440,4.9560,4.9560,0.0000,0.4000
96,default,86,0,-1,0,2,-97.8234,27.5843,-0.0003,0.0000,-0.0517,0.1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.7322,0.836715,-4.152236,1.9419,3.1047,3.1047,0.0000,1.8488
97,default,250,0,0,0,0,-6.8620,-632.5290,-0.0002,0.0000,-0.0190,0.0140,0.0000,0.0000,0.0111,0.0000,0.0000,0.2414,1.073234,-4.156312,2.0000,3.0000,3.0000,0.0000,0.1760
98,default,250,0,1,1,0,19.6853,-304.5369,-0.0003,0.0200,-0.0121,0.0134,0.0000,0.0000,0.0083,0.0000,0.0000,0.3583,1.051408,-3.998316,1.0520,5.8320,5.8320,0.0000,0.1640
99,default,250,0,0,0,0,-13.4262,-653.9811,-0.0002,0.0000,-0.0037,0.0080,0.0000,0.0000,0.0027,0.0000,0.0000,0.4360,0.963252,-3.811579,2.0000,3.0000,3.0000,0.0000,0.1000
100,default,250,0,1,1,0,31.1759,-310.3053,-0.0002,0.0200,-0.0019,0.0155,0.0000,0.0000,0.0093,0.0000,0.0000,0.4606,0.836872,-3.652550,1.1120,5.6520,5.6520,0.0000,0.1840
